Word,Date,Collocation,Notes,PoS,Meaning
unintelligible,2020-09-08,NaN,NaN,adjective,anlaşılmaz
disposed,2020-09-08,NaN,NaN,adjective,hazır/eğilimli
zephyr,2020-09-08,NaN,NaN,noun,ince kumaş-gömlek/batı rüzgarı
epitaph,2020-09-08,NaN,NaN,noun,mezar yazısı
ostensible,2020-09-08,NaN,NaN,adjective,sözde/görünürde
sybarite,2020-09-08,NaN,NaN,noun,hovarda
pontificate,2020-09-08,about/on smt,pnc. difference n/v,"noun, verb",papalık/ahkam kesmek
cascade,2020-09-09,NaN,NaN,"adjective, noun",kademeli/çağlayan
crumb,2020-09-09,NaN,"""breadcrumb""","noun, verb",kırıntı/galetaya bulamak
volatile,2020-09-09,NaN,NaN,adjective,uçucu/geçici
auxiliary,2020-09-09,NaN,NaN,"noun, adjective",yardımcı
proximate,2020-09-09,NaN,>approximate,adjective,en yakın/yaklaşık
insouciant,2020-09-10,NaN,NaN,adjective,ilgisiz/kaygısız
precept,2020-09-10,NaN,NaN,noun,kural/emir
discretionary,2020-09-10,NaN,NaN,adjective,isteğe bağlı/ihtiyari
demijohn,2020-09-10,NaN,NaN,noun,damacana
porch,2020-09-11,NaN,NaN,noun,veranda
strangle,2020-09-12,NaN,NaN,verb,boğmak/boğazlamak
candor,2020-09-12,NaN,NaN,noun,samimiyet/açık sözlülük
gratuitous,2020-09-12,NaN,NaN,adjective,gereksiz/nedensiz
deride,2020-09-14,NaN,NaN,verb,aşağılamak
forsake,2020-09-14,NaN,NaN,verb,zor durumda terketmek
scold,2020-09-14,NaN,NaN,"noun, verb",huysuz kadın/azarlamak
cumulative,2020-09-14,NaN,NaN,adjective,birikimli/birikmiş
placate,2020-09-14,NaN,NaN,verb,yatıştırmak/sakinleştirmek
riddance,2020-09-15,NaN,NaN,noun,kurtulma/başından atma
tangle,2020-09-15,with,NaN,"noun, verb",arapsaçı/dolaştırmak
latrine,2020-09-15,NaN,communal one in a camp or barracks.,noun,tuvalet/hela
communal,2020-09-15,NaN,NaN,adjective,toplumsal/müşterek
shun,2020-09-15,NaN,NaN,verb,çekinmek/uzak durmak
confidant,2020-09-17,NaN,NaN,noun,sırdaş
enmity,2020-09-17,NaN,NaN,noun,düşmanlık/nefret
insatiable,2020-09-17,NaN,NaN,adjective,doyumsuz/açgözlü
brusque,2020-09-17,NaN,NaN,adjective,kaba/nezaketsiz
inept,2020-09-17,NaN,NaN,adjective,beceriksiz
indolent,2020-09-17,NaN,NaN,adjective,tembel/uyuşuk
demure,2020-09-19,NaN,typically used of a woman,adjective,mütevazi/çekingen
governess,2020-09-19,NaN,NaN,noun,mürebbiye/eğitici kadın
pert,2020-09-19,NaN,NaN,adjective,şımarık kadın/şuh
impertinent,2020-09-19,NaN,NaN,adjective,küstah/terbiyesiz
burnish,2020-09-20,NaN,NaN,verb,cilalamak/parlatmak
dejected,2020-09-20,NaN,NaN,adjective,keyifsiz/üzgün
hush,2020-09-20,NaN,NaN,"verb, noun",susturmak-sakinleştirmek/sessizlik
contend,2020-09-20,NaN,NaN,verb,baş etmek/iddia etmek
apostasy,2020-09-20,NaN,NaN,noun,irtidat/döneklik
excavation,2020-09-22,NaN,NaN,noun,kazı/hafriyat
despot,2020-09-22,NaN,NaN,noun,despot/acımasız/diktatör
sly,2020-09-22,NaN,NaN,adjective,sinsi/kurnaz
deceit,2020-09-22,NaN,NaN,noun,aldatma/hile
furtive,2020-09-22,NaN,NaN,adjective,kaçamak/gizli
gluttony,2020-09-23,NaN,NaN,noun,oburluk/açgözlülük
decry,2020-09-23,NaN,NaN,verb,alenen kınamak/rezil etmek
extol,2020-09-23,NaN,NaN,verb,övmek/methetmek
impudent,2020-09-23,NaN,NaN,adjective,küstah/saygısız
acquiesce,2020-09-23,in/to,#,verb,isteksizce kabul etmek
fabricate,2020-09-24,NaN,NaN,verb,uydurmak/sahtesini yapmak
cajole,2020-09-24,NaN,NaN,verb,tatlı sözle ikna etmek
brazen/brazen it out,2020-09-24,smt out,NaN,"adjective, verb",utanmaz/yüzsüzlüğe vurmak
insular,2020-09-24,NaN,NaN,adjective,dar görüşlü/adayla ilgili
debase,2020-09-24,NaN,NaN,verb,değerini düşürmek/bozmak
chide,2020-09-25,NaN,NaN,verb,azarlamak/ayıplamak
circumspect,2020-09-25,NaN,NaN,adjective,ihtiyatlı/dikkatli
infamy,2020-09-25,NaN,NaN,noun,kötü şöhret
embezzle,2020-09-25,NaN,NaN,verb,zimmetine geçirmek/çalmak
flabbergast,2020-09-25,NaN,NaN,verb,şaşırtmak/hayret ettirmek
avarice,2020-09-26,NaN,NaN,noun,açgözlülük/para hırsı
aberration,2020-09-26,NaN,NaN,noun,aberasyon/sapma
arcane,2020-09-26,NaN,NaN,adjective,gizemli/sır dolu
erudite,2020-09-26,NaN,NaN,adjective,bilge/bilimsel
hypocrisy,2020-09-26,NaN,NaN,noun,iki yüzlülük
deference,2020-09-27,NaN,NaN,noun,saygı/hürmet
callous,2020-09-27,NaN,NaN,"adjective, verb",duygusuz/duygusuzlaşmak
intrepid,2020-09-27,NaN,rhetorical/humorous,adjective,cesur/korkusuz
haughty,2020-09-27,NaN,NaN,adjective,kibirli
elate,2020-09-27,NaN,NaN,verb,neşelendirmek/sevindirmek
coherent,2020-09-28,NaN,NaN,adjective,tutarlı/yapışık
coerce,2020-09-28,NaN,NaN,verb,zorlamak/baskı yapmak
complacency,2020-09-28,NaN,NaN,noun,gönül rahatlığı
connive,2020-09-28,NaN,*,verb,göz yummak
custody,2020-09-28,NaN,NaN,noun,velayet/gözetim
compassion,2020-09-30,NaN,NaN,noun,merhamet
mud,2020-09-30,NaN,NaN,noun,çamur
seesaw,2020-09-30,NaN,NaN,"noun, verb",tahterevalli/inip çıkmak
swing,2020-09-30,NaN,NaN,"noun, verb",salıncak/sallanmak
carousel,2020-09-30,NaN,NaN,noun,atlıkarınca
yeast,2020-09-30,NaN,NaN,noun,maya
abhor,2020-10-01,NaN,NaN,verb,nefret etmek/iğrenmek
eloquent,2020-10-01,NaN,NaN,adjective,dokunaklı-güzel konuşan
alacrity,2020-10-01,NaN,NaN,noun,heves/canlılık
appease,2020-10-01,NaN,NaN,verb,yatıştırmak/sakinleştirmek
amiable,2020-10-02,NaN,NaN,adjective,sevimli/cana yakın
dais,2020-10-02,NaN,NaN,noun,kürsü
petulant,2020-10-02,NaN,NaN,adjective,alıngan/huysuz
proletariat,2020-10-02,NaN,NaN,noun,işçi sınıfı/proletarya
gilded,2020-10-02,NaN,NaN,adjective,altın yaldızlı/altın kaplama
offal,2020-10-03,NaN,NaN,noun,sakatat
spool,2020-10-03,NaN,NaN,"noun, verb",makara-bobin/makaraya sarmak/bobine sarmak
lam,2020-10-03,NaN,NaN,verb,sertçe vurmak
huckster,2020-10-03,NaN,NaN,noun,madrabaz/işportacı
moue,2020-10-03,NaN,NaN,verb,dudak bükmek
concise,2020-10-04,NaN,NaN,adjective,özlü/kısa
brevity,2020-10-04,NaN,NaN,noun,kısalık/özlük
tout,2020-10-04,NaN,NaN,"noun, verb",çığırtkan satıcı/çığırtkanlık etmek
sprinkle,2020-10-04,NaN,NaN,"noun, verb",tutam/serpmek-sulamak
ailing,2020-10-04,NaN,NaN,adjective,hasta/rahatsız
vivid,2020-10-06,NaN,NaN,adjective,canlı/parlak
vermilion,2020-10-06,NaN,NaN,"noun, adjective",cıva sülfürden yapılan parlak kırmızı pigment/parlak kırmızı
precis,2020-10-06,NaN,NaN,"noun, verb",özet/özetlemek
remorse,2020-10-06,NaN,NaN,noun,pişmanlık/vicdan azabı
brood,2020-10-06,NaN,NaN,"noun, verb",kuluçka/düşünceye dalmak
consigliere,2020-10-11,NaN,esp. to a crime boss,noun,danışman
rodent,2020-10-11,NaN,NaN,"noun, adjective",kemirgen
menace,2020-10-11,NaN,NaN,noun,tehdit
apprehension,2020-10-11,NaN,NaN,noun,endişe/anlama/tutuklama
hooch,2020-10-11,NaN,esp. inferior or illicit whiskey,noun,alkollü içki
fortress,2020-10-12,NaN,NaN,noun,kale/hisar
cinnamon,2020-10-12,NaN,NaN,"noun, adjective",tarçın-tarçın ağacı/tarçıni
conman,2020-10-12,NaN,NaN,noun,dolandırıcı
mope,2020-10-12,NaN,NaN,"verb, noun",üzgün olmak/sıkıcı tip
flare,2020-10-12,NaN,NaN,"noun, verb",parlama/alevlenmek-genişlemek
peripheral,2020-10-13,NaN,NaN,"adjective, noun",çevresel/çevresel cihaz
exculpation,2020-10-13,NaN,NaN,noun,aklanma/aklama
fudge,2020-10-13,NaN,NaN,"verb, noun",geçiştirmek/yumuşak şeker
cynicism,2020-10-13,NaN,NaN,noun,kinizm
caprice,2020-10-13,NaN,NaN,noun,geçici istek/değişken davranış
entreat,2020-10-14,NaN,NaN,noun,yalvarmak/üstelemek
vain,2020-10-14,NaN,NaN,adjective,kibirli/nafile
conjecture,2020-10-14,NaN,NaN,"noun, verb",varsayım/varsaymak
grimace,2020-10-14,NaN,NaN,"noun, verb",yüz buruşturma/yüz buruşturmak
staccato,2020-10-14,NaN,NaN,adverb,kesik kesik/kesik ve kuvvetli
philanthropy,2020-10-15,NaN,NaN,noun,hayırseverlik
sullen,2020-10-15,NaN,NaN,adjective,somurtgan/kasvetli
sallow,2020-10-15,NaN,NaN,adjective,solgun/benzi sararmış
deuce,2020-10-15,NaN,NaN,noun,şeytan/beraberlik
comely,2020-10-15,NaN,NaN,adjective,güzel/alımlı
blunder,2020-10-16,NaN,NaN,"noun, verb",gaf-pot/pot kırmak
interpolate,2020-10-16,NaN,NaN,verb,katmak/arasına sokmak
uncouth,2020-10-16,NaN,NaN,adjective,hoyrat/kaba
scrupulous,2020-10-16,NaN,NaN,adjective,dikkatli/titiz
hiatus,2020-10-16,NaN,NaN,noun,boşluk/aralık
indignation,2020-10-17,NaN,haksızlığa karşı,noun,öfke
lithe,2020-10-17,NaN,(esp. of a person's body),adjective,kıvrak/esnek
endeavor,2020-10-17,NaN,NaN,noun,çaba/uğraş
merit,2020-10-17,NaN,NaN,noun,değer/yararlık
hairpin,2020-10-17,NaN,NaN,noun,keskin viraj/firkete
languid,2020-10-18,NaN,NaN,adjective,durgun/baygın
pallid,2020-10-18,NaN,NaN,adjective,solgun
truculent,2020-10-18,NaN,NaN,adjective,vahşi/acımasız
tremulous,2020-10-18,NaN,NaN,adjective,titrek/ürkek
panegyric,2020-10-18,NaN,public speech/text,noun,methiye
gauze,2020-10-19,NaN,NaN,noun,gazlı bez/sargı bezi
gleam,2020-10-19,NaN,esp. reflected from smt.,"noun, verb",parıltı/parıldamak
beaker,2020-10-19,NaN,NaN,noun,beher/deney şişesi
vinegar,2020-10-19,NaN,NaN,noun,sirke
odor,2020-10-19,NaN,NaN,noun,koku/izlenim
perforated,2020-10-20,NaN,NaN,adjective,delikli/delinmiş
clamp,2020-10-20,NaN,NaN,"noun, verb",kelepçe-kıskaç/sıkıştırmak
decantation,2020-10-20,NaN,chemical,noun,boşaltma
flit,2020-10-20,NaN,NaN,"noun, verb",taşınma/uçuşmak-taşınmak
squander,2020-10-20,NaN,NaN,"noun, verb",israf/israf etmek
lionize,2020-10-21,NaN,NaN,verb,ünlü muamelesi yapmak
willful,2020-10-21,NaN,NaN,adjective,kasıtlı/söz dinlemez
disquiet,2020-10-21,NaN,NaN,"noun, verb",huzursuzluk/huzurunu bozmak
colonel,2020-10-21,NaN,NaN,noun,albay
enormity,2020-10-21,NaN,NaN,noun,kötülük/alçaklık
trough,2020-10-22,NaN,NaN,noun,yalak/oluk
beckon,2020-10-22,NaN,NaN,verb,işaret etmek/işaretle çağırmak
shepherd,2020-10-22,NaN,NaN,noun,çoban
parch,2020-10-22,NaN,NaN,"noun, verb",kurumak/kurutmak
presage,2020-10-22,NaN,NaN,"noun, verb",kehanet/kehanette bulunmak
gesticulate,2020-10-23,NaN,NaN,verb,jest yapmak/el hareketi ile konuşmak
cozy,2020-10-23,NaN,NaN,adjective,rahat/konforlu
reverend,2020-10-23,NaN,NaN,"noun, adjective",peder/saygıdeğer
clergy,2020-10-23,NaN,NaN,noun,rahipler sınıfı/ruhban sınıfı
gauge,2020-10-23,NaN,NaN,"noun, verb",ölçü-ölçme aleti/ölçmek
machete,2020-10-25,NaN,NaN,noun,pala
entrails,2020-10-25,NaN,NaN,noun,iç organlar
preempt,2020-10-25,NaN,NaN,verb,önceden ayırmak/önceden satın almak
drab,2020-10-25,NaN,NaN,"adjective, noun",sıkıcı/donuk açık kahverengi-fahişe
flicker,2020-10-25,NaN,NaN,"noun, verb",titreme/alevlenmek
humbug,2020-10-27,NaN,NaN,"noun, verb",riyakarlık-şarlatan/aldatmak
lucrative,2020-10-27,NaN,NaN,adjective,kârlı/kazançlı
zest,2020-10-27,NaN,NaN,noun,lezzet/çeşni
grotesque,2020-10-27,NaN,NaN,"noun, adjective",grotesk figür/garip-gülünç
listless,2020-10-27,NaN,NaN,adjective,ilgisiz/cansız
wry,2020-10-28,NaN,NaN,adjective,alaycı/çarpık
abstruse,2020-10-28,NaN,NaN,adjective,anlaşılması zor
dowdy,2020-10-28,NaN,NaN,"adjective, noun",pasaklı kadın/elmalı turta
carnal,2020-10-28,NaN,NaN,adjective,cinsel/bedensel
facile,2020-10-28,NaN,NaN,adjective,basit ve ustaca
valet,2020-10-28,NaN,NaN,noun,uşak
pathos,2020-10-29,NaN,NaN,noun,acınma duygusu uyandıran nitelik
plaintive,2020-10-29,NaN,NaN,adjective,hüzün dolu
gaudy,2020-10-29,NaN,NaN,"adjective, noun",şatafatlı/mezunlar ziyafeti
ribbon,2020-10-29,NaN,NaN,noun,kurdele/şerit
tawdry,2020-10-30,NaN,NaN,adjective,zevksiz/zevksizce süslenmiş
sensuous,2020-10-30,NaN,NaN,adjective,hissi/duygulara hitap eden
tarry,2020-10-30,NaN,NaN,"adjective, verb",katranlı/oyalanmak
frieze,2020-10-30,NaN,NaN,noun,friz-duvar süsü/kaba yün kumaş
munificent,2020-10-30,NaN,NaN,adjective,eli açık/cömert
protege,2020-10-31,NaN,NaN,noun,korunan-kayrılan kimse
brocade,2020-10-31,NaN,NaN,noun,sırmalı ipek kumaş/brokar
ministerial,2020-10-31,NaN,NaN,noun,bakanlık
lethargy,2020-10-31,NaN,NaN,noun,letarji/uyuşukluk
pervade,2020-11-03,NaN,NaN,verb,yayılmak/sinmek
mutiny,2020-11-03,NaN,NaN,noun,isyan/ayaklanma
hospice,2020-11-03,NaN,NaN,noun,darülaceze/düşkünler evi
supercilious,2020-11-03,NaN,NaN,adjective,tepeden bakan/kibirli
turbid,2020-11-03,NaN,NaN,adjective,bulanık
estuary,2020-11-03,NaN,NaN,noun,nehir ağzı/haliç
subaltern,2020-11-06,NaN,officer in the British army,"adjective, noun",alt/ast/ikinci teğmen
blackout,2020-11-06,NaN,NaN,noun,karartma/bayılma/örtbas etme
akin,2020-11-06,to,NaN,adjective,benzeyen
overhaul,2020-11-06,NaN,NaN,noun,bakım/elden geçirme
ballot,2020-11-06,NaN,NaN,noun,oylama/oy pusulası
constituent,2020-11-12,NaN,NaN,"adjective, noun",kurucu-oluşturan/bileşen
iridescent,2020-11-12,NaN,NaN,adjective,yanardöner/ oynadıkça renk değiştiren
malady,2020-11-12,NaN,NaN,noun,illet/hastalık
myriad,2020-11-12,NaN,NaN,"adjective, noun",sayısız-çok büyük sayıda
crucible,2020-11-12,NaN,NaN,noun,pota
soliloquy,2020-11-16,NaN,NaN,noun,monolog
apostrophe,2020-11-16,NaN,NaN,noun,apostrof/ başkası için söylenen söz
endorse,2020-11-16,NaN,NaN,verb,desteklemek/onaylamak
catastrophe,2020-11-16,NaN,NaN,noun,afet/felaket
albeit,2020-11-16,NaN,although,conjunction,gerçi
dissimulation,2020-11-17,NaN,NaN,noun,duygularını saklama/gizleme
magnanimous,2020-11-17,NaN,NaN,adjective,bağışlayıcı/yüce
obeisance,2020-11-17,NaN,NaN,noun,hürmet/saygı
piquancy,2020-11-17,NaN,NaN,noun,acılık/keskinlik/ilginç gelen yön
preclude,2020-11-17,NaN,NaN,verb,önlemek/engellemek
niggardliness,2020-11-19,NaN,NaN,noun,cimrilik/hasislik
sinecure,2020-11-19,NaN,*,noun,hizmetsiz maaşlı memuriyet
toady,2020-11-19,NaN,NaN,"noun, adjective",dalkavuk/yağcı
emaciated,2020-11-19,NaN,NaN,adjective,bir deri bir kemik
amenity,2020-11-19,NaN,NaN,noun,hoşluk/tatlılık
querulous,2020-11-22,NaN,NaN,adjective,yakınan/mızmız
decorous,2020-11-22,NaN,NaN,adjective,zevkli/terbiyeli
punctilious,2020-11-22,NaN,NaN,adjective,aşırı titiz/doğrucu
obsequious,2020-11-22,NaN,NaN,adjective,yaltakçı/aşırı saygılı
tacit,2020-11-22,NaN,NaN,adjective,zımni/söylenmeden anlaşılan
adumbrate,2020-12-01,NaN,NaN,verb,ima etmek/dokundurmak
anathema,2020-12-01,NaN,NaN,noun,aforoz/lanet edilen şey
acumen,2020-12-01,NaN,NaN,noun,zeka/çabuk kavrama
abjure,2020-12-01,NaN,NaN,verb,tövbe etmek/reddetmek
abrogate,2020-12-01,NaN,NaN,verb,fesh etmek/yürürlükten kaldırmak
hapless,2020-12-02,NaN,NaN,adjective,talihsiz/bahtsız
negligent,2020-12-02,NaN,NaN,adjective,ihmal/umursamaz
abscond,2020-12-02,NaN,NaN,verb,kanundan kaçmak
utilitarian,2020-12-02,NaN,NaN,"adjective, noun",faydacı-yararlı/faydacı kimse
profligate,2020-12-02,NaN,NaN,"adjective, noun",savurgan-ahlaksız/hovarda
inure,2020-12-03,NaN,NaN,verb,alıştırmak/ yürürlüğe girmek
quixote,2020-12-03,NaN,c.f. Don Quixote,adjective,umutsuzca idealist/hayalperest
swarthy,2020-12-03,NaN,NaN,adjective,esmer/yağız
covet,2020-12-03,NaN,NaN,verb,imrenmek/gıpta etmek
circumvent,2020-12-03,NaN,NaN,verb,atlatmak/bir yolunu bulmak/alt etmek
maudlin,2020-12-05,NaN,NaN,adjective,içip ağlayan/sarhoş ve duygusal
reprobate,2020-12-05,NaN,often used humorously or affectionately,"noun, adjective, verb",günahkar/ahlaksız/lanetlemek-kınamak
exacerbate,2020-12-05,NaN,NaN,verb,kötüleştirmek/kızdırmak
admonish,2020-12-05,NaN,NaN,verb,uyarmak/azarlamak
tome,2020-12-05,NaN,NaN,noun,kalın kitap/cilt
penchant,2020-12-09,NaN,NaN,noun,tutku/eğilim
beguile,2020-12-09,NaN,in a deceptive way,verb,eğlendirmek/büyülemek
obdurate,2020-12-10,NaN,NaN,adjective,inatçı/taş kalpli
extant,2020-12-10,NaN,NaN,adjective,varlığını kaybetmemiş/kaybolmamış
ostentatious,2020-12-10,NaN,NaN,adjective,gösterişli/havalı
pithy,2020-12-14,NaN,NaN,adjective,kısa ve öz
inexorable,2020-12-14,NaN,NaN,adjective,amansız
amorphous,2020-12-14,NaN,NaN,adjective,amorf/şekilsiz
prurient,2020-12-14,NaN,NaN,adjective,şehvetli/şehvet düşkünü
denigrate,2020-12-14,NaN,NaN,verb,kötülemek/karalamak
paradigm,2021-01-01,NaN,NaN,noun,örnek/kip
maelstrom,2021-01-01,NaN,NaN,noun,büyük girdap
morass,2021-01-01,NaN,NaN,noun,bataklık/zor durum
requisition,2021-01-01,NaN,officially,"noun, verb",talep etmek/el koymak
cogent,2021-01-01,NaN,NaN,adjective,ikna edici/inandırıcı
expiate,2021-01-02,NaN,NaN,verb,cezasını çekmek/kefaret vermek
scurrilous,2021-01-02,NaN,NaN,adjective,küfürlü/aşağılayıcı
forbearance,2021-01-02,NaN,NaN,noun,hoşgörü/tolerans
evince,2021-01-02,NaN,NaN,verb,açığa vurmak/belli etmek
ambivalent,2021-01-02,NaN,NaN,adjective,kararsız/duyguları çelişen
fume hood,2021-01-03,NaN,NaN,noun,davlumbaz
incipient,2021-01-03,NaN,NaN,adjective,yeni başlayan
cherish,2021-01-03,NaN,NaN,verb,beslemek/yaşatmak/bağrına basmak
sash,2021-01-03,NaN,NaN,noun,kuşak/pencere çerçevesi
detriment,2021-01-03,to/of,NaN,noun,zarar/hasar
hollow,2021-01-04,NaN,NaN,"adjective, noun",oyuk/çukur
plume,2021-01-04,NaN,NaN,noun,kuş tüyü
insidious,2021-01-04,NaN,NaN,adjective,sinsi
carouse,2021-01-04,NaN,NaN,verb,kafayı çekmek/içki alemi yapmak
emulate,2021-01-04,NaN,NaN,verb,benzemeye çalışmak/yarışmak
upbraid,2021-01-05,NaN,NaN,verb,haşlamak/çıkışmak
largesse,2021-01-05,NaN,NaN,noun,cömertlik/bağış
incumbent,2021-01-05,NaN,NaN,"adjective, noun",görevdeki/görevli-memur
modicum,2021-01-05,of,esp. smt. desirable/valuable.,noun,az miktar/biraz
plethora,2021-01-05,NaN,NaN,noun,bolluk/kan toplanması
arrogate,2021-01-06,NaN,NaN,verb,atfetmek/üzerine atmak
accede,2021-01-06,NaN,NaN,verb,kabul etmek/yönetime geçmek
solicitous,2021-01-06,NaN,NaN,adjective,istekli/dikkatli-duyarlı
inchoate,2021-01-06,NaN,NaN,adjective,gelişmemiş/tam oluşmamış
extraneous,2021-01-06,NaN,NaN,adjective,yabancı/konu ile ilgisi olmayan
yoke,2021-01-07,NaN,NaN,noun,boyunduruk
surfeit,2021-01-07,of/with,NaN,noun,aşırılık/bıktırmak
blandishment,2021-01-07,NaN,NaN,noun,tatlı söz/yağcılık
alias,2021-01-07,NaN,NaN,"noun, adverb",takma ad/diğer adıyla
amenable,2021-01-07,NaN,NaN,adjective,uysal/mükellef
emend,2021-01-08,NaN,to a text,verb,düzeltmek/değişiklik yapmak
onerous,2021-01-08,NaN,NaN,adjective,ağır/zahmetli
espouse,2021-01-08,NaN,NaN,verb,benimsemek/evlenmek
vociferous,2021-01-08,NaN,NaN,adjective,gürültülü/sesli
travesty,2021-01-08,NaN,NaN,noun,hiciv/hezel
maverick,2021-01-09,NaN,NaN,noun,başına buyruk tip/sahipsiz buzağı
intimation,2021-01-09,NaN,NaN,noun,ima/işaret-ipucu
fallacious,2021-01-09,NaN,NaN,adjective,aldatıcı/safsata
fortuitous,2021-01-09,NaN,NaN,adjective,tesadüfi
relegate,2021-01-09,NaN,NaN,verb,sürmek/rütbesini düşürmek
ebullient,2021-01-10,NaN,NaN,adjective,coşkulu/kaynayan
pellucid,2021-01-10,NaN,NaN,adjective,saydam/şeffaf
idiosyncratic,2021-01-10,NaN,NaN,adjective,bir şeye özgü/nevi şahsına münhasır
palliate,2021-01-10,NaN,NaN,verb,hafifletmek/mazur göstermek
engender,2021-01-10,NaN,NaN,verb,meydana getirmek/doğurmak
edict,2021-01-11,NaN,NaN,noun,ferman/tebliğ
diaphanous,2021-01-11,NaN,NaN,adjective,yarı saydam
intransigent,2021-01-11,NaN,NaN,adjective,uzlaşmaz/inat
debunk,2021-01-11,NaN,NaN,verb,putları kırmak/gerçeği göstermek
nadir,2021-01-11,of,NaN,noun,en aşağı nokta/ayak ucu
solipsism,2021-01-12,NaN,NaN,noun,tekbencilik
calumny,2021-01-12,NaN,NaN,noun,iftira/çamur atma
inane,2021-01-12,NaN,NaN,adjective,anlamsız/beyhude
approbation,2021-01-12,NaN,NaN,noun,onama/takdir
capitulate,2021-01-12,NaN,NaN,verb,teslim olmak/silahları bırakmak
pariah,2021-01-13,NaN,NaN,noun,parya/toplumdan dışlanmış kimse
expurgate,2021-01-13,NaN,NaN,verb,arıtmak/temizlemek
pejorative,2021-01-13,NaN,NaN,adjective,aşağılayıcı
impute,2021-01-13,NaN,NaN,verb,atfetmek/suçlamak
tirade,2021-01-13,NaN,NaN,noun,tirad/uzun eleştiri-suçlama
atrophy,2021-01-14,NaN,NaN,noun,atrofi/körelme
spurious,2021-01-14,NaN,NaN,adjective,sahte/yapay
bereft,2021-01-14,NaN,NaN,adjective,yoksun/kaybetmiş
litigant,2021-01-14,NaN,NaN,"noun, adjective",davacı
diverge,2021-01-15,NaN,NaN,verb,uzaklaşmak/sapmak
injunction,2021-01-15,NaN,NaN,noun,ihtar/mahkeme emri
impinge,2021-01-15,NaN,negative one,verb,çarpmak/etkilemek
abject,2021-01-15,NaN,NaN,adjective,sefil/aşağılık
converge,2021-01-15,NaN,NaN,verb,yakınsamak/birleşmek
