Word,Date,Collocation,Notes,PoS,Meaning
swerve,2021-01-16,NaN,NaN,verb,sapmak/saptırmak
expunge,2021-01-16,NaN,NaN,verb,çıkarmak/silmek
grandiloquent,2021-01-16,NaN,NaN,adjective,ihtişamlı/yerinde
promulgate,2021-01-16,NaN,NaN,verb,yaymak/geniş kitlelerce bilinmesini sağlamak
noisome,2021-01-16,NaN,NaN,adjective,pis kokulu/iğrenç
impecunious,2021-01-17,NaN,NaN,adjective,parasız/fakir
contrite,2021-01-17,NaN,NaN,adjective,pişman/suçluluk duyan
conduit,2021-01-17,NaN,NaN,noun,kanal/boru
antediluvian,2021-01-17,NaN,NaN,"adjective, noun",çok eski/eski kafalı kimse
cilantro,2021-01-17,NaN,NaN,noun,kişniş
beam,2021-01-17,NaN,NaN,noun,kiriş/direk/ışın
affluent,2021-01-18,NaN,NaN,adjective,zengin/varlıklı
gourmand,2021-01-18,NaN,NaN,adjective,obur/boğazına düşkün
cognizant,2021-01-18,of,NaN,adjective,bilen/farkında olan
rife,2021-01-18,NaN,NaN,adjective,yaygın/dolu
debacle,2021-01-18,NaN,NaN,noun,yıkım/fiyasko
epistolary,2021-01-19,NaN,NaN,adjective,mektuplardan oluşan
carp,2021-01-19,NaN,NaN,verb,beğenmemek/mızmızlanmak
corpulence,2021-01-19,NaN,NaN,noun,şişmanlık/irilik
contravene,2021-01-19,NaN,NaN,verb,karşı çıkmak/başkaldırmak
trenchant,2021-01-19,NaN,NaN,adjective,keskin/etkili-dokunaklı
perplexity,2021-01-20,NaN,NaN,noun,şaşkınlık/kafa karıştıran şey
fetter,2021-01-20,NaN,NaN,noun,zincir/köstek
mawkish,2021-01-20,NaN,NaN,adjective,iğrenç/tiksindirici
torus,2021-01-20,NaN,NaN,noun,yumru/halka/simit
quandary,2021-01-20,NaN,NaN,noun,ikilem/tereddüd
xenophobia,2021-01-21,NaN,NaN,noun,ksenofobi/yabancı düşmanlığı
avalanche,2021-01-21,NaN,NaN,noun,çığ/heyelan
probe,2021-01-21,NaN,NaN,noun,sonda/soruşturma
vicissitude,2021-01-21,NaN,kötü anlamda,noun,değişme/değişiklik
execrable,2021-01-21,NaN,NaN,adjective,iğrenç/berbat
cobbler,2021-01-22,NaN,NaN,noun,ayakkabıcı/şaraplı bir kokteyl
cavort,2021-01-22,NaN,NaN,verb,zıplamak/sıçramak
garrulous,2021-01-22,NaN,NaN,adjective,geveze/boşboğaz
enfranchise,2021-01-22,NaN,NaN,verb,oy hakkı vermek
puerlie,2021-01-22,NaN,NaN,adjective,çoçuksu/boş
trite,2021-01-23,NaN,NaN,adjective,basmakalıp/bayat
licentious,2021-01-23,NaN,NaN,adjective,çapkın/hovarda
impetuous,2021-01-23,NaN,NaN,adjective,aceleci/tez canlı
bane,2021-01-23,NaN,NaN,noun,yıkım/felaket
insurgent,2021-01-23,NaN,NaN,"noun, verb",isyancı/asi
turpitude,2021-01-24,NaN,NaN,noun,ahlaksızlık/alçaklık
convivial,2021-01-24,NaN,NaN,adjective,şen
platitude,2021-01-24,NaN,NaN,noun,basmakalıp söz
vituperate,2021-01-24,NaN,NaN,verb,sövmek/azarlamak
plenitude,2021-01-24,NaN,NaN,noun,bolluk
equanimity,2021-01-25,NaN,NaN,noun,sakinlik/ağırbaşlılık
noxious,2021-01-25,NaN,NaN,adjective,zararlı/tehlikeli
subjugate,2021-01-25,NaN,NaN,verb,boyun eğdirmek/yenmek
duplicity,2021-01-25,NaN,NaN,noun,hile/ikiyüzlülük
accretion,2021-01-25,NaN,NaN,noun,büyüme/ilave
echelon,2021-01-26,NaN,NaN,noun,kademe/basamak
panacea,2021-01-26,NaN,NaN,noun,her derde deva ilaç
clamor,2021-01-26,NaN,NaN,noun,yaygara/gürültü
inimical,2021-01-26,NaN,NaN,adjective,düşmanca/zararlı
dearth,2021-01-26,NaN,NaN,noun,kıtlık/eksiklik
pertinacious,2021-01-27,NaN,NaN,adjective,azimli/ısrarcı
ostracism,2021-01-27,NaN,NaN,noun,sürgün/toplumdan uzaklaştırma
pugnacious,2021-01-27,NaN,NaN,adjective,hırçın/kavgacı
pernicious,2021-01-27,NaN,NaN,adjective,zararlı/ölümcül
maxim,2021-01-27,NaN,NaN,noun,özdeyiş/vecize
paucity,2021-01-28,NaN,NaN,noun,azlık/yetersizlik
emollient,2021-01-28,NaN,NaN,adjective,cildi yumuşatan
defunct,2021-01-28,NaN,NaN,adjective,geçersiz/ölü
legerdemain,2021-01-28,NaN,NaN,noun,el çabukluğu/hokkabazlık
surreptitious,2021-01-28,NaN,NaN,adjective,kaçamak/gizli
foil,2021-01-29,NaN,NaN,noun,folyo/meç
quackery,2021-01-29,NaN,NaN,noun,şarlatanlık/sahte doktorluk
wily,2021-01-29,NaN,NaN,adjective,kurnaz/şeytan
divisive,2021-01-29,NaN,NaN,adjective,bölücü/anlaşmazlık çıkaran
lest,2021-01-29,NaN,NaN,conjunction,olmasın diye
construe,2021-01-30,NaN,NaN,verb,çözümlemek/yorumlamak
remiss,2021-01-30,NaN,NaN,adjective,dikkatsiz/ihmalci
duress,2021-01-30,NaN,NaN,noun,baskı/zorlama
phlegmatic,2021-01-30,NaN,NaN,adjective,soğuk/duygusuz
plaudit,2021-01-30,NaN,NaN,noun,alkış
evanescent,2021-01-31,NaN,NaN,adjective,kaybolan/unutulup giden/fani
debauch,2021-01-31,NaN,NaN,"noun, adjective",zevk ve eğlenceye düşkünlük/bozmak/ayartmak
shimmer,2021-01-31,NaN,NaN,noun,parıltı/titrek ışık
panache,2021-01-31,NaN,NaN,noun,caka/gösteriş/sorguç
dirge,2021-01-31,NaN,NaN,noun,ağıt/mersiye
infiltrate,2021-02-01,NaN,NaN,verb,sızmak/gizlice girmek
aggrandize,2021-02-01,NaN,NaN,verb,yüceltmek/artırmak
abnegation,2021-02-01,NaN,NaN,noun,inkar/yadsıma
egregious,2021-02-01,NaN,outstandingly bad; shocking,adjective,çok kötü/ayrılan
eclectic,2021-02-01,NaN,NaN,adjective,seçme/derleme
sanctimonious,2021-02-02,NaN,NaN,adjective,sahte sofu/dindarlık taslayan
recalcitrant,2021-02-02,NaN,NaN,adjective,inatçı/söz dinlemez/aksi
pretense,2021-02-02,NaN,NaN,noun,bahane/yalandan yapma
ubiquitous,2021-02-02,NaN,NaN,adjective,her yerde bulunan
pious,2021-02-02,NaN,NaN,adjective,dindar/göstermelik
multifarious,2021-02-04,NaN,NaN,adjective,çeşitli/çeşit çeşit
promiscuous,2021-02-04,NaN,NaN,adjective,karışık/herkesle yatan/seçici olmayan
quotidian,2021-02-04,NaN,NaN,adjective,gündelik/günlük
mendacious,2021-02-04,NaN,NaN,adjective,yalan/uydurma
yield,2021-02-04,NaN,NaN,"verb, noun",vermek-yol vermek/verim-getiri
cleave,2021-02-04,NaN,NaN,verb,bölmek/yarmak/yapışmak
scrawny,2021-02-04,NaN,unattractively,adjective,cılız/sıska
aggregate,2021-02-04,NaN,NaN,"adjective, verb",toplam/toplamak
protuberant,2021-02-04,NaN,NaN,adjective,çıkıntılı/çıkık
chirp,2021-02-04,NaN,NaN,"verb, noun",cıvıldamak/cıvıltı
bulge,2021-02-05,NaN,NaN,noun,çıkıntı/şişkinlik
perturb,2021-02-05,NaN,NaN,verb,huzursuz etmek/endişelendirmek
flutter,2021-02-05,NaN,NaN,"noun, verb",çırpınma-telaş-pırpır etme/çırpınmak
protruding,2021-02-05,NaN,NaN,adjective,çıkıntılı/fırlak
despicable,2021-02-05,NaN,NaN,adjective,adi/değersiz
skew,2021-02-06,NaN,NaN,adjective,çarpık/eğri
meager,2021-02-06,NaN,NaN,adjective,yetersiz/yavan
ruffian,2021-02-06,NaN,NaN,noun,kavgacı/zorba
wrench,2021-02-06,NaN,NaN,noun,burkma/burkulma/İngiliz anahtarı
census,2021-02-06,NaN,NaN,noun,nüfus sayımı
tact,2021-02-07,NaN,NaN,noun,incelik/ortama göre davranma
pitfall,2021-02-07,NaN,NaN,noun,görünmez tehlike/tuzak
frail,2021-02-07,NaN,NaN,adjective,zayıf/narin
adroit,2021-02-07,at,NaN,adjective,usta/becerikli
poke,2021-02-07,NaN,NaN,verb,kurcalamak/karıştırmak/dürtüklemek
barge,2021-02-08,into,NaN,"noun, verb",mavna/dalmak
filthy,2021-02-08,NaN,NaN,adjective,pis/iğrenç
counterintuitive,2021-02-08,NaN,NaN,adjective,mantıksız/sezgilere aykırı
hail,2021-02-08,NaN,NaN,"noun, verb",dolu/dolu yağmak/selamlamak
cluster,2021-02-08,NaN,NaN,"noun, verb",küme/toplanmak
asinine,2021-02-09,NaN,NaN,adjective,ahmakça
blush,2021-02-09,NaN,NaN,"verb, noun",yüzü kızarmak/utanmak
cheapskate,2021-02-09,NaN,NaN,noun,cimri
rascal,2021-02-09,NaN,typically used in an affectionate way,noun,kerata/hayta
valiant,2021-02-09,NaN,NaN,adjective,cesur/yürekli
heap,2021-02-10,NaN,NaN,noun,yığın/öbek
pest,2021-02-10,NaN,NaN,noun,musibet/rahatsız edici şey
preen,2021-02-10,NaN,of a bird,verb,gaga ile tüylerini düzeltmek/kendine çeki düzen vermek
butler,2021-02-10,NaN,NaN,noun,kahya/uşak
crescent,2021-02-10,NaN,NaN,noun,hilal
disband,2021-02-11,NaN,of an organized group,verb,dağıtmak/dağıtmak/ayrılmak
hone,2021-02-11,NaN,NaN,"verb, noun",bilemek/bileği taşı
friar,2021-02-11,NaN,NaN,noun,keşiş/katolik rahibi
stern,2021-02-11,NaN,NaN,adjective,sert/katı/kıç
pawn,2021-02-11,NaN,NaN,noun,piyon/rehin
tantamount,2021-02-12,NaN,NaN,adjective,eşit/aynı değerde
gag,2021-02-12,NaN,NaN,"noun, verb",ağız tıkacı/susturmak-ağzını tıkamak
ventriloquist,2021-02-12,NaN,NaN,noun,vantrilok/karnından konuşan kimse
concatenate,2021-02-12,NaN,NaN,verb,bağlamak/sıralamak
scurvy,2021-02-12,NaN,NaN,"adjective, noun",aşağılık/iskorbüt hastalığı
lateen,2021-02-13,NaN,NaN,noun,üçgen yelken
mast,2021-02-13,NaN,NaN,noun,direk/gemi direği
vitreous,2021-02-13,NaN,NaN,adjective,camsı/cam gibi
staysail,2021-02-13,NaN,NaN,noun,yelken
afflict,2021-02-13,NaN,NaN,verb,acı vermek/eziyet etmek
squid,2021-02-14,NaN,NaN,noun,kalamar/mürekkep balığı
drool,2021-02-14,NaN,NaN,verb,ağzı sulanmak
sheen,2021-02-14,NaN,NaN,noun,parlaklık/pırıltı
retribution,2021-02-14,NaN,NaN,noun,intikam/ceza
ruckus,2021-02-14,NaN,NaN,noun,"kargaşa,gürültü"
pulverize,2021-02-15,NaN,NaN,verb,ezmek/toz haline getirmek
smithereens,2021-02-15,NaN,NaN,noun,parçacıklar/küçük parçalar
creek,2021-02-15,NaN,NaN,noun,dere/çay
inlet,2021-02-15,NaN,NaN,noun,giriş/koy/körfez
caravel,2021-02-15,NaN,Spanish or Portuguese sailing ship of the 15th–17th centuries,noun,karavela/küçük ve hızlı gemi
conviction,2021-02-16,NaN,NaN,noun,inanç/kanaat/sıçlu bulma
ferocity,2021-02-16,NaN,NaN,noun,gaddarlık/vahşilik
verdict,2021-02-16,NaN,NaN,noun,karar/hüküm
munition,2021-02-16,NaN,NaN,noun,savaş malzemeleri/levazım
sergeant,2021-02-16,NaN,NaN,noun,çavuş/astsubay
swell,2021-02-17,NaN,NaN,"noun, verb",kabarma/şişmek
vicarious,2021-02-17,NaN,NaN,adjective,başkası için yapılan/vekaleten yapılan
pillage,2021-02-17,NaN,NaN,"noun, verb",yağma/talan/yağmalamak
maw,2021-02-17,NaN,NaN,noun,kursak/gırtlak
teem,2021-02-17,NaN,NaN,verb,kaynamak/dolu olmak/dökülmek
fractious,2021-02-18,NaN,NaN,adjective,huysuz/aksi
diligent,2021-02-18,NaN,NaN,adjective,çalışkan/gayretli
incisive,2021-02-18,NaN,NaN,adjective,keskin/zekice/dokunaklı
inextricably,2021-02-18,NaN,NaN,adverb,ayrılmaz bir şekilde/bağlantılı
feral,2021-02-18,NaN,NaN,adjective,vahşi/yabani
bevel,2021-02-19,NaN,NaN,"noun, adjective",eğim/şevli
stifle,2021-02-19,NaN,NaN,verb,bastırmak/boğmak/tutmak
emboss,2021-02-19,NaN,NaN,verb,kabartma yapmak/çekiçle dövmek
transcendental,2021-02-19,NaN,NaN,adjective,aşkın/deneyüstü/metafizik
sanction,2021-02-19,NaN,NaN,noun,yaptırım/onay/izin
abut,2021-02-20,NaN,NaN,verb,dayanmak/bitişik olmak
allegory,2021-02-20,NaN,NaN,noun,"bir anlam saklı kısa hikaye,şiir,resim"
mull,2021-02-20,NaN,NaN,verb,şarabı baharatla kaynatmak/kafa patlatmak
futile,2021-02-20,NaN,NaN,adjective,beyhude/nafile
adamant,2021-02-20,NaN,NaN,adjective,sert/inatçı/dik başlı
garret,2021-02-21,NaN,NaN,noun,çatı katı/tavan arası
impound,2021-02-21,NaN,NaN,verb,haczetmek/el koymak
assort,2021-02-21,NaN,NaN,verb,ayırmak/sınıflandırmak
grandiose,2021-02-21,NaN,NaN,adjective,görkemli/muazzam
expostulate,2021-02-21,NaN,NaN,verb,itiraz etmek/sertçe karşı çıkmak
irrevocable,2021-02-22,NaN,NaN,adjective,geri alınamaz/değiştirilemez
prudence,2021-02-22,NaN,NaN,noun,ihtiyat/sağduyu
declaim,2021-02-22,NaN,NaN,verb,nutuk çekmek/yüksek sesle okumak
malice,2021-02-22,NaN,NaN,noun,kötülük/kötü niyet
abscess,2021-02-22,NaN,NaN,noun,apse/çıban
elucidate,2021-02-23,NaN,NaN,verb,aydınlatmak/açıklamak
perpetuity,2021-02-23,of,NaN,noun,daimilik/süreklilik
pell-mell,2021-02-23,NaN,NaN,adjective,allak bullak/karman çorman
puny,2021-02-23,NaN,NaN,adjective,zayıf/cılız
semblance,2021-02-23,NaN,especially when the reality is different.,noun,görünüş/suret/illüzyon
casuistry,2021-02-24,NaN,NaN,noun,vicdan muhasebesi/safsata
contort,2021-02-24,NaN,NaN,verb,çarpıtmak/bükmek
ignominy,2021-02-24,NaN,NaN,noun,rezillik/kepazelik
aloof,2021-02-24,NaN,NaN,adjective,soğuk/ilgisiz
clamber,2021-02-24,NaN,NaN,verb,garipçe tırmanmak/sarılarak tırmanmak
fortitude,2021-02-25,NaN,NaN,noun,dayanıklılık/metanet
evasive,2021-02-25,NaN,NaN,adjective,kaçamak/baştan savma
prevaricate,2021-02-25,NaN,NaN,verb,kaçamak cevap vermek/yalan söylemek
bedlam,2021-02-25,NaN,NaN,noun,tımarhane/karışıklık
overwrought,2021-02-25,NaN,NaN,adjective,sinirleri bozuk/aşırı süslü/aşırı heyecanlı
concubine,2021-02-26,NaN,NaN,noun,cariye/metres
inflate,2021-02-26,NaN,NaN,verb,şişirmek/hava basmak
take on,2021-02-26,NaN,NaN,verb,kapışmak/iddiaya tutuşmak
nuisance,2021-02-26,NaN,NaN,noun,sıkıntı/baş belası/dert
copse,2021-02-26,NaN,NaN,noun,koru/ağaçlık
grim,2021-02-27,NaN,NaN,adjective,korkunç/gaddar/acımasız
tenacity,2021-02-27,NaN,NaN,noun,azim/sıkı sıkı sarılma
sentry,2021-02-27,NaN,NaN,noun,nöbetçi/nöbet
relish,2021-02-27,NaN,NaN,"noun, verb",zevk/çeşni/tadını çıkarmak
dogged,2021-02-27,NaN,NaN,adjective,inatçı/azimli
lax,2021-02-28,NaN,NaN,adjective,gevşek/umursamaz
pulpit,2021-02-28,NaN,NaN,noun,minber/kürsü
earnest,2021-02-28,NaN,NaN,adjective,ciddi/samimi/içten
forte,2021-02-28,NaN,NaN,noun,kişinin en güçlü yönü/en iyi yaptığı şey
extravagance,2021-02-28,NaN,NaN,noun,savurganlık/israf/taşkınlık
klutz,2021-03-02,NaN,NaN,noun,hantal tip
glitzy,2021-03-02,NaN,NaN,adjective,gösterişli/göze çarpan
demeanor,2021-03-02,NaN,NaN,noun,tavır/davranış
vacillate,2021-03-02,between,NaN,verb,bocalamak/tereddüd etmek
somber,2021-03-02,NaN,NaN,adjective,kasvetli/karanlık/loş
surmise,2021-03-02,NaN,NaN,"noun, verb",tahmin/kuşkulanmak-sanmak
trivet,2021-03-02,NaN,NaN,noun,saç ayağı/ayaklı destek
recumbent,2021-03-02,NaN,NaN,adjective,yaslanmış/uzanan
apoplexy,2021-03-02,NaN,NaN,noun,felç/inme
indiscretion,2021-03-02,NaN,NaN,noun,patavatsızlık/düşüncesizlik
arduous,2021-03-03,NaN,NaN,adjective,çetin/zor/ağır
debonair,2021-03-03,NaN,typically used of a man,adjective,güleryüzlü/hoş
misanthrope,2021-03-03,NaN,NaN,noun,insanları sevmeyen kimse
neologism,2021-03-03,NaN,NaN,noun,yenilikçilik/yeni kelime
anguish,2021-03-03,NaN,NaN,noun,acı/ızdırap
effeminate,2021-03-04,NaN,NaN,adjective,kadınsı/feminen/yumuşak
consternation,2021-03-04,NaN,NaN,noun,şaşkılık/afallama/donup kalma
dismay,2021-03-04,NaN,typically that caused by something unexpected,"noun, verb",dehşet/bunalım/dehşete düşürmek
instantiate,2021-03-04,NaN,NaN,verb,örneklendirmek
squint,2021-03-04,NaN,NaN,"adjective, verb",gözlerini kısarak bakmak/şaşı
apprise,2021-03-05,NaN,NaN,verb,bilgi vemek/söylemek
reprentance,2021-03-05,NaN,NaN,noun,tövbe/pişmanlık
effrontery,2021-03-05,NaN,NaN,noun,küstahlık/yüzsüzlük
insuperable,2021-03-05,NaN,NaN,adjective,aşılmaz/geçilmez
credulity,2021-03-05,NaN,NaN,noun,saflık/her şeye inanma
lavish,2021-03-07,NaN,NaN,adjective,savurgan/bol/müsrif
interpose,2021-03-07,NaN,NaN,verb,araya girmek/araya koymak
quail,2021-03-07,at,NaN,"noun, verb",bıldırcın/korkmak/umudunu yitirmek
redouble,2021-03-07,NaN,NaN,verb,iki katına çıkarmak
capacious,2021-03-07,NaN,NaN,adjective,geniş/ferah
scornful,2021-03-07,NaN,NaN,adjective,aşağılayıcı/küçümseyen
reciprocal,2021-03-07,NaN,NaN,adjective,karşılıklı/çift taraflı
altruism,2021-03-07,NaN,NaN,noun,fedakarlık/özgecilik
wretch,2021-03-07,NaN,NaN,noun,sefil/zavallı adam
orchard,2021-03-07,NaN,NaN,noun,meyve bahçesi
gab,2021-03-08,NaN,NaN,verb,çok konuşmak/boş konuşmak
venue,2021-03-08,NaN,NaN,noun,olayın gerçekleştiği yer/etkinlik yeri
famished,2021-03-08,NaN,NaN,adjective,açlıktan ölen/çok aç
nifty,2021-03-08,NaN,NaN,adjective,güzel/fiyakalı/şık
holler,2021-03-08,NaN,NaN,verb,bağırmak/seslenmek
chipper,2021-03-09,NaN,NaN,adjective,neşeli/canlı
adulation,2021-03-09,NaN,NaN,noun,dalkavukluk/yaltaklanma
hunk,2021-03-09,NaN,NaN,noun,iri parça/iri çekici erkek
prodigy,2021-03-09,NaN,especially a young one,noun,dahi/olağanüstü
stigma,2021-03-09,NaN,NaN,noun,damga/leke/utanç verici şey
quiche,2021-03-10,NaN,NaN,noun,kiş/pastırmalı Fransız turtası
propel,2021-03-10,NaN,NaN,verb,itmek/sevketmek
repercussion,2021-03-10,NaN,NaN,noun,yankı/geri tepme/yan etki
nag,2021-03-10,NaN,NaN,verb,dırdır etmek/başının etini yemek
bog,2021-03-10,NaN,NaN,"noun, verb",bataklık/bataklığa gömülmek
terse,2021-03-11,NaN,NaN,adjective,ksıa ve öz/veciz
fumble,2021-03-11,with,NaN,"verb, noun",beceriksizce yapmak/becerememe
beseech,2021-03-11,NaN,NaN,verb,yalvarmak/dilemek
bourgeois,2021-03-11,NaN,NaN,"adjective, noun",burjuva/kent soylu
pratfall,2021-03-11,NaN,NaN,"noun, verb",büyük salaklık/kıçının üzerine düşmek
satire,2021-03-12,NaN,NaN,noun,hiciv/yergi/taşlama
ado,2021-03-12,NaN,NaN,noun,telaş/gürültü
truncate,2021-03-12,NaN,NaN,verb,kesmek/budamak
tidbit,2021-03-12,NaN,NaN,noun,nefis lokma/en güzel parça
farce,2021-03-12,NaN,NaN,noun,fars/kaba güldürü/maskaralık
frivolous,2021-03-13,NaN,NaN,adjective,manasız/uçarı
hilt,2021-03-13,NaN,NaN,noun,kabza/sap
coquette,2021-03-13,NaN,NaN,noun,fettan kadın/şuh/yosma
trifle,2021-03-13,NaN,NaN,"verb, noun",önemsememek/değersiz şey
pinafore,2021-03-13,NaN,NaN,noun,önlük/bluz üzerine giyilen askısız elbise
comb,2021-03-14,NaN,NaN,"noun, verb",tarak/taramak
petrify,2021-03-14,NaN,NaN,verb,taşlaştırmak/ödünü koparmak
alight,2021-03-14,NaN,NaN,"verb, adjective",inmek/yanan/tutuşmuş
lofty,2021-03-14,NaN,NaN,adjective,yüksek/yüce/ulvi
coarse,2021-03-14,NaN,NaN,adjective,kaba/yontulmamış
torsion,2021-03-15,NaN,NaN,noun,burulma/bükülme/dönme
shabby,2021-03-15,NaN,NaN,adjective,eski püskü/pejmürde
flamboyant,2021-03-15,NaN,NaN,adjective,gösterişli/göz alıcı/ateşli
reservoir,2021-03-15,NaN,NaN,noun,rezervuar/hazne/depo
permeate,2021-03-15,NaN,NaN,verb,geçmek/sızmak/yayılmak
vestige,2021-03-16,NaN,NaN,noun,iz/eser
soiree,2021-03-16,NaN,NaN,noun,suare/gece matinesi
flail,2021-03-16,NaN,NaN,"noun, verb",harman döveni/pataklamak
epistle,2021-03-16,NaN,NaN,noun,mektup/name
edification,2021-03-16,NaN,NaN,noun,yetiştirme/terbiye etme
crumpled,2021-03-17,NaN,NaN,verb,buruşturmak/kırıştırmak
convalescence,2021-03-17,NaN,NaN,noun,iyileşme/iyileşme dönemi
affable,2021-03-17,NaN,NaN,adjective,nazik/hoş/arkadaş canlısı
fringe,2021-03-17,NaN,NaN,noun,saçak/püskül
assent,2021-03-17,NaN,NaN,"noun, verb",onay/kabul/kabul etmek
confabulation,2021-03-18,NaN,NaN,noun,geçmişteki bir boşluğun doldurulması/hoşbeş/sohbet
culpable,2021-03-18,NaN,NaN,adjective,kusurlu/suçlanmayı hak eden
hussar,2021-03-18,NaN,NaN,noun,hafif süvari eri
banter,2021-03-18,NaN,NaN,noun,şaka/takılma/alay
testament,2021-03-18,NaN,NaN,noun,inançların açıklanması/vasiyetname
dopant,2021-03-19,NaN,NaN,noun,katkı maddesi
abdicate,2021-03-19,NaN,NaN,verb,tahttan çekilmek/feragat etmek
vex,2021-03-19,NaN,NaN,verb,kızdırmak/küstürmek/üzmek
layabout,2021-03-19,NaN,NaN,noun,serseri/boş gezenin boş kalfası/aylak
nimble,2021-03-19,NaN,NaN,adjective,çevik/atik
haggle,2021-03-20,NaN,NaN,verb,pazarlık etmek
conclave,2021-03-20,NaN,NaN,noun,özel toplantı
ale,2021-03-20,NaN,NaN,noun,bira/birinci kalite bira
droll,2021-03-20,NaN,NaN,adjective,tuhaf/gülünç
pitcher,2021-03-20,NaN,NaN,noun,sürahi/atıcı/ibrik şeklide yaprak
epaulet,2021-03-21,NaN,NaN,noun,apolet/omuzluk
fallow,2021-03-21,NaN,NaN,noun,nadas/nadasa bırakılan arazi
eschew,2021-03-21,NaN,NaN,verb,kaçınmak/sakınmak
ruddy,2021-03-21,NaN,NaN,adjective,kanlı canlı/al/sağlıklı
poignancy,2021-03-21,NaN,NaN,noun,dokunaklılık/acılık
berth,2021-03-22,NaN,NaN,noun,yatak/kuşet/palamar yeri
recourse,2021-03-22,NaN,NaN,noun,yardım kaynağı/merci
epigram,2021-03-22,NaN,NaN,noun,vecize/nükte/nükteli söz
unwonted,2021-03-22,NaN,NaN,adjective,alışılmamış/sıra dışı
coterie,2021-03-22,NaN,NaN,noun,zümre/topluluk
seditious,2021-03-23,NaN,NaN,adjective,kışkırtıcı/ayaklandıran/tahrikçi
rancorous,2021-03-23,NaN,NaN,adjective,kindar/garazlı/kinci
infringe,2021-03-23,NaN,NaN,verb,ihlal etmek/çiğnemek
rigorous,2021-03-23,NaN,NaN,adjective,titiz/sıkı/kesin
procure,2021-03-23,NaN,NaN,verb,temin etmek/sağlamak/neden olmak
incite,2021-03-24,NaN,violent or unlawful behaviour,verb,tetiklemek/kışkırtmak
importune,2021-03-24,NaN,NaN,verb,ısrarla istemek/sıkboğaz etmek
woe,2021-03-24,NaN,NaN,noun,keder/gam/dert
fiddle,2021-03-24,NaN,NaN,verb,keman/keman çalmak
paragon,2021-03-24,NaN,NaN,noun,erdem örneği/kusursuzluk örneği
