Word,Date,Collocation,Notes,PoS,Meaning
opulent,2021-03-25,NaN,NaN,adjective,zengin/bol/savurgan
benison,2021-03-25,NaN,NaN,noun,kutsama/bereket
folly,2021-03-25,NaN,NaN,noun,çılgınlık/aptallık
almond,2021-03-26,NaN,NaN,noun,badem
flux,2021-03-26,NaN,NaN,noun,akı/akış
skunk,2021-03-26,NaN,NaN,noun,kokarca/aşağılık herif
cadet,2021-03-27,NaN,NaN,noun,askeri öğrenci/polis akademisi öğrencisi
adage,2021-03-27,NaN,NaN,noun,atasözü/özdeyiş
gourd,2021-03-27,NaN,NaN,noun,sukabağı
bombast,2021-03-28,NaN,with little meaning,noun,süslü sözler/gösterişli dil
homage,2021-03-28,NaN,NaN,noun,saygı/hürmet/bağlılık
epithet,2021-03-28,NaN,NaN,noun,sıfat/lakap
upstart,2021-03-29,NaN,NaN,"verb, adjective",birdenbire ortaya çıkmak/sonradan görme
whet,2021-03-29,NaN,NaN,"verb, noun",bilemek/iştah açıcı
interim,2021-03-29,NaN,NaN,"noun, adjective",ara/geçici
servile,2021-03-30,NaN,NaN,adjective,köle gibi/yaltakçı
quagmire,2021-03-30,NaN,NaN,noun,bataklık/çıkmaz
rotundity,2021-03-30,NaN,NaN,noun,yuvarlaklık/tokluk
conflagration,2021-03-31,NaN,NaN,noun,yangın felaketi/büyük yangın
shibboleth,2021-03-31,NaN,NaN,noun,anlamını yitirmiş adet/artık kullanılmayan deyim
inveigh,2021-03-31,NaN,speak or write,verb,çıkışmak/azarlamak/paylamak
maunder,2021-04-01,NaN,NaN,verb,tutarsız ve anlaşılmaz konuşmak
disheveled,2021-04-01,NaN,"of a person's hair, clothes, or appearance",adjective,darmadağınık/karmakarışık
buttress,2021-04-01,NaN,NaN,noun,destek/payanda/ayak
smattering,2021-04-02,NaN,NaN,noun,yüzeysel bilgi/az buçuk bilgi
dirigible,2021-04-02,NaN,NaN,"noun, adjective",zeplin/kontrol edilebilen
pneumonia,2021-04-02,NaN,NaN,noun,zatürre/akciğer iltihaplanması
concoction,2021-04-03,NaN,NaN,noun,karışım
rig,2021-04-03,NaN,NaN,"noun, verb",teçhizat/hile ile yönetmek/çıkarlarına göre değişiklik yapmak
rut,2021-04-03,NaN,NaN,"noun, verb",tekerlek izi/tekdüzelik/kızışmak
dismally,2021-04-04,NaN,NaN,adverb,kasvetle/sıkıntıyla/rezilce
fastidious,2021-04-04,NaN,NaN,adjective,titiz/detaycı
sluice,2021-04-04,NaN,NaN,"noun, verb",savak/akmak/yıkamak
fillet,2021-04-05,NaN,NaN,noun,fileto/dolgu/şerit
chamfer,2021-04-05,NaN,NaN,noun,yiv/oluk/kanal
simper,2021-04-05,NaN,NaN,"verb, noun",aptalca gülümsemek/yapmacık gülümseme
gnarled,2021-04-06,NaN,NaN,adjective,budaklı/boğumlu
sear,2021-04-06,NaN,NaN,verb,kurutmak/yakmak/kavurmak
sliver,2021-04-06,NaN,NaN,noun,kıymık/uzun ince parça
cumbersome,2021-04-07,NaN,NaN,adjective,hantal/ağır/külfetli
officious,2021-04-07,NaN,NaN,adjective,işgüzar/gayriresmi
trammel,2021-04-07,NaN,NaN,noun,engel/ayakbağı
spiel,2021-04-08,NaN,regarded with skepticism or contempt by those who hear it,noun,satıcı ağız/laf kalabalığı/uzun konuşma
chaplain,2021-04-08,NaN,NaN,noun,papaz/vaiz
stocky,2021-04-08,NaN,NaN,adjective,tıknaz/bodur
resort,2021-04-10,NaN,NaN,"noun, verb",çare/başvurma/dinlenme yeri/başvurmak
parapet,2021-04-10,NaN,NaN,noun,siper/balkon duvarı
restive,2021-04-10,NaN,NaN,adjective,huzursuz/sabırsız
salvo,2021-04-11,NaN,NaN,noun,yayılım ateşi/salvo/bombardıman
digression,2021-04-11,NaN,NaN,noun,konu dışı söz/konudan ayrılma
lemma,2021-04-11,NaN,NaN,noun,başta kabul edilen teorem/başlık
estrange,2021-04-12,NaN,NaN,verb,soğutmak/uzaklaştırmak
moor,2021-04-12,NaN,NaN,verb,demirlemek/demir atmak
corollary,2021-04-12,NaN,NaN,noun,sonuç/doğal sonuç
scowl,2021-04-13,NaN,NaN,"noun, verb",sert bakış/kaş çatmak
beady,2021-04-13,NaN,NaN,adjective,boncuk gibi/boncuklu
scuttle,2021-04-13,NaN,NaN,"verb, noun",tüymek/kaçmak/kaçışma/sıvışma
mezzanine,2021-04-14,NaN,NaN,noun,asma kat/ara kat
bland,2021-04-14,NaN,NaN,adjective,mülayim/sıkıcı
arid,2021-04-14,NaN,NaN,adjective,kurak/yavan/sıkıcı
innuendo,2021-04-15,NaN,NaN,noun,kinaye/dokundurma/üstü kapalı söz
carrion,2021-04-15,NaN,NaN,noun,leş/kokmuş et
usury,2021-04-15,NaN,NaN,noun,tefecilik/faizcilik
cram,2021-04-16,NaN,NaN,verb,tıkmak/ineklemek/tıka basa yedirmek
vagrant,2021-04-16,NaN,NaN,"adjective, noun",avare/derbeder/aylak
bystander,2021-04-16,NaN,NaN,noun,seyirci
preordain,2021-04-17,NaN,NaN,verb,önceden kararlaştırmak/önceden karar vermek
tenet,2021-04-17,NaN,NaN,noun,ilke/öğreti/doktrin
scathing,2021-04-17,NaN,NaN,adjective,acı/kırıcı
shackle,2021-04-19,NaN,NaN,"noun, verb",kelepçe/köstek/zincirlemek
perpetrator,2021-04-19,NaN,NaN,noun,fail
confide,2021-04-19,NaN,NaN,verb,güvenmek/sır vermek
raspy,2021-04-20,NaN,NaN,adjective,ahlaksız
cower,2021-04-20,NaN,in fear,verb,çömelmek/çökmek
swaddle,2021-04-20,NaN,NaN,verb,kundağa sarmak
spate,2021-04-21,NaN,NaN,noun,akın/kalabalık
headlong,2021-04-21,NaN,NaN,"adverb, adjective",burnun dikine/aceleci
mettle,2021-04-21,NaN,NaN,noun,azim/cesaret/hırs
brunt,2021-04-22,NaN,NaN,noun,darbe/çarpma
liturgy,2021-04-22,NaN,NaN,noun,cemaat ile okunan dua/komünyon
repent,2021-04-22,NaN,NaN,verb,tövbe etmek/pişmanlık duymak
chaste,2021-04-23,NaN,NaN,adjective,iffetli/erdemli
prate,2021-04-23,NaN,NaN,verb,gevezelik etmek/boş konuşmak
oracle,2021-04-23,NaN,NaN,noun,kehanet/vahiy
penance,2021-04-25,NaN,voluntary self-punishment,noun,kefaret/kendi günahını cezalandırma
slink,2021-04-25,NaN,NaN,verb,sinsice sokulmak/gizlice yürümek
blare,2021-04-25,NaN,NaN,"noun, verb",boru sesi/yüksek ses/yüksek ses çıkarmak
fathom,2021-04-27,NaN,NaN,"noun, verb",kulaç/anlamak
poniard,2021-04-27,NaN,NaN,verb,hançer/hançerlemek
prattle,2021-04-27,NaN,NaN,"noun, verb",gevezelik/çene çalmak
dotage,2021-04-28,NaN,NaN,noun,düşkünlük/bunaklık
burly,2021-04-28,NaN,NaN,adjective,iri yarı/güçlü kuvvetli
ordeal,2021-04-28,NaN,NaN,noun,çile/işkence ile sorgulama
billow,2021-04-29,NaN,NaN,"noun, verb",dev dalga/rüzgarla şişmek
fervently,2021-04-29,NaN,NaN,adverb,hararetle/istekle
muzzle,2021-04-29,NaN,NaN,noun,ağız/ağızlık
goad,2021-05-01,NaN,NaN,verb,kışkırtmak/rahatsız etmek
precipitation,2021-05-01,NaN,NaN,noun,yağış/çökelme
benevolent,2021-05-01,NaN,NaN,adjective,hayırsever/müşfik
cathartic,2021-05-02,NaN,NaN,adjective,katarsise neden olan/zihnen rahatlatan
buoy,2021-05-02,NaN,NaN,"noun, verb",şamandıra/şamandıra ile işaretlemek/yüzdürmek
lurch,2021-05-02,NaN,NaN,verb,sallanmak/sendelemek
quell,2021-05-03,NaN,NaN,verb,teskin etmek/yatıştırmak
ruefully,2021-05-03,NaN,NaN,adverb,üzülerek
scallop,2021-05-03,NaN,NaN,noun,deniz kabuğu/tarak kabuğu
fete,2021-05-04,NaN,NaN,"noun, verb",eğlence/ağırlamak/ziyafet vermek
throng,2021-05-04,NaN,NaN,"noun, verb",kalabalık/toplanmak/doldurmak
bodice,2021-05-04,NaN,NaN,noun,korse/elbisenin üst kısmı
affidavit,2021-05-05,NaN,NaN,noun,beyanname/yeminli belge
commence,2021-05-05,NaN,NaN,verb,başlamak/başlatmak
adjourn,2021-05-05,NaN,"a meeting, legal case, or game",verb,ertelemek/sonraya bırakmak
divulge,2021-05-06,NaN,NaN,verb,ifşa etmek/yaymak
boorish,2021-05-06,NaN,NaN,adjective,kaba/hoyrat
sashay,2021-05-06,NaN,NaN,"verb, noun",süzülmek/dairesel bir dans figürü
oar,2021-05-07,NaN,NaN,"noun, verb",kürek/kürek çekmek
den,2021-05-07,NaN,NaN,noun,in/sığınak
cape,2021-05-07,NaN,geographical,noun,kolsuz pelerin/burun
staid,2021-05-08,NaN,NaN,adjective,vakur/ağırbaşlı
introspection,2021-05-08,NaN,NaN,noun,iç gözlem/içbakış
stupor,2021-05-08,NaN,NaN,noun,sersemlik/uyuşukluk
effigy,2021-05-09,NaN,NaN,noun,heykel/büst
swanky,2021-05-09,NaN,NaN,adjective,havalı/şık/gösterişli
rescind,2021-05-09,NaN,NaN,verb,yürürlükten kaldırmak/feshetmek
truss,2021-05-10,NaN,NaN,noun,bağ/destek/takviye iskeleti
pendulum,2021-05-10,NaN,NaN,noun,sarkaç/pandül/rakkas
grouse,2021-05-10,NaN,NaN,"noun, verb",orman tavuğu/keklik/söylenmek
forestall,2021-05-11,NaN,NaN,verb,önlemek/önce davranmak
knave,2021-05-11,NaN,NaN,noun,dolandırıcı/üçkağıtçı
rebuke,2021-05-11,NaN,NaN,verb,azarlamak/sitem etmek
mire,2021-05-12,NaN,NaN,"noun, verb",pislik/çamur/çamura batmak
liege,2021-05-12,NaN,NaN,noun,derebeyine bağlı kimse/metbu
crux,2021-05-12,NaN,NaN,noun,püf nokta/mesele
beset,2021-05-13,NaN,NaN,verb,rahat vermemek/sarmak/kuşatmak
recreant,2021-05-13,NaN,NaN,"adjective, noun",hain/ödlek
wayward,2021-05-13,NaN,NaN,adjective,tutarsız/asi
heraldic,2021-05-14,NaN,NaN,adjective,hanedan/hanedanla ilgili
emblazon,2021-05-14,NaN,NaN,verb,süslemek/tezyin etmek/yüceltmek
conceited,2021-05-14,NaN,NaN,adjective,kibirli/kendini beğenmiş
belate,2021-05-15,NaN,NaN,verb,geç kalmak/gecikmek
kook,2021-05-15,NaN,NaN,noun,çılgın/ilginç tip
cyclone,2021-05-15,NaN,NaN,noun,siklon/kasırga/hortum
churn,2021-05-16,NaN,NaN,"noun, verb",yakın arkadaş/arkadaş olmak
scuff,2021-05-16,NaN,NaN,verb,ayağını sürümek/sürtmek
cackle,2021-05-16,NaN,NaN,"verb, noun",kıkırdamak/kıkırtı
allot,2021-05-17,NaN,NaN,verb,bölüştürmek/paylaştırmak
skirmish,2021-05-17,NaN,NaN,"noun, verb",çatışma/çatışmak
fetid,2021-05-17,NaN,NaN,adjective,pis kokulu/kokuşmuş
spew,2021-05-20,NaN,NaN,verb,kusmak/istifrağ etmek
turmoil,2021-05-20,NaN,NaN,noun,hengame/telaş
oasis,2021-05-20,NaN,NaN,noun,vaha
spall,2021-05-21,NaN,(of soil or land),"verb, noun",parçalanmak/parçacık
warble,2021-05-21,NaN,NaN,"noun, verb",şakıma/ötmek
fertile,2021-05-21,NaN,NaN,adjective,verimli/bereketli
bridle,2021-05-22,NaN,NaN,"noun, verb",dizgin/dizginlemek
retinue,2021-05-22,NaN,accompanying an important person,noun,maiyet/eşlik edenler
trundle,2021-05-22,NaN,NaN,verb,yuvarlanmak/yuvarlamak
descry,2021-05-23,NaN,NaN,verb,farketmek/çıkarmak/seçmek
rapture,2021-05-23,NaN,NaN,noun,mest olma/kendinden geçme
fraught,2021-05-23,NaN,NaN,adjective,endişe verici/yüklü
intricate,2021-05-25,NaN,NaN,adjective,karışık/dallı budaklı
falter,2021-05-25,NaN,NaN,verb,sendelemek/duraksamak
scrimmage,2021-05-25,NaN,NaN,noun,hücum/itişip kakışma
ramification,2021-05-26,NaN,NaN,noun,dallanıp budaklanma/kötü-karışık sonuç
mollify,2021-05-26,NaN,NaN,verb,yatıştırmak/sakinleştirmek
delve,2021-05-26,NaN,NaN,verb,altüst ederek aramak/arayıp taramak
lout,2021-05-27,NaN,NaN,noun,kaba adam/agresif tip
quip,2021-05-27,NaN,NaN,"noun, verb",espri/hazırcevap/espri yapmak
sojourn,2021-05-27,NaN,NaN,"verb, noun",geçici olarak kalmak/bir süre için kalma
hull,2021-05-29,NaN,NaN,noun,gemi gövdesi/kabuk
vexation,2021-05-29,NaN,NaN,noun,sıkıntı/sinirlenme/endişelenme
petal,2021-05-29,NaN,NaN,noun,taçyaprağı
cusp,2021-05-30,NaN,NaN,noun,uç/doruk
veneer,2021-05-30,NaN,NaN,noun,kaplama tahtası/ahşap kaplama
douse,2021-05-30,NaN,NaN,verb,söndürmek/üzerine su dökmek
kinsman,2021-06-01,NaN,NaN,noun,erkek akraba
muslin,2021-06-01,NaN,NaN,noun,tülbent/müslin
discord,2021-06-01,NaN,NaN,noun,anlaşmazlık/ahenksizlik
scant,2021-06-02,NaN,NaN,adjective,yetersiz/kıt
grovel,2021-06-02,NaN,NaN,verb,sürünmek/yaltaklanmak
prissy,2021-06-02,NaN,NaN,adjective,fazla titiz/iffetli geçinen
scrounge,2021-06-03,NaN,NaN,verb,otlakçılık etmek/aşırmak
waft,2021-06-03,NaN,NaN,verb,taşımak (hava/su)/sürüklemek
carabiner,2021-06-03,NaN,(dağcılıkta kullanılan bir çeşit kanca),noun,karabina/yaylı tutturma bileziği
annulus,2021-06-05,NaN,NaN,noun,halka
inveterate,2021-06-05,NaN,NaN,adjective,kronik/kökleşmiş
stentorian,2021-06-05,NaN,(of a person's voice),adjective,gür/güçlü
newfangled,2021-06-06,NaN,NaN,adjective,yeni çıkmış/yeni model
overt,2021-06-06,NaN,NaN,adjective,açık/aşikâr
feign,2021-06-06,NaN,"(a feeling, state, or injury)",verb,yalandan yapmak/numara yapmak
misnomer,2021-06-12,NaN,NaN,noun,yanlış isim kullanma/yanlış ad
tarnish,2021-06-12,NaN,NaN,verb,kararmak/kirletmek
hindrance,2021-06-12,NaN,NaN,noun,engel/mani
palatable,2021-06-13,NaN,NaN,adjective,lezzetli
ineffable,2021-06-13,NaN,NaN,adjective,tarifsiz/kelimelerle ifade edilemez
inkling,2021-06-13,NaN,NaN,noun,sezme/ipucu/kuşkulanma
anon,2021-06-14,NaN,archaic & informal,adverb,hemen/derhal
monsoon,2021-06-14,NaN,NaN,noun,muson/mevsim rüzgarı
bauble,2021-06-14,NaN,NaN,noun,değersiz mücevher/saray soytarısının sopası
fleck,2021-06-15,NaN,NaN,noun,nokta/benek
wizened,2021-06-15,NaN,NaN,adjective,pörsümüş/kurumuş
prim,2021-06-15,NaN,NaN,adjective,kuralcı/aşırı resmi
suffuse,2021-06-21,NaN,NaN,verb,bürümek/üzerine yayılmak
uppity,2021-06-21,NaN,NaN,adjective,kibirli/kendini beğenmiş
sprig,2021-06-21,NaN,NaN,noun,filiz/fışkın
snide,2021-06-22,NaN,NaN,adjective,küçümseyen/sahte
cabal,2021-06-22,NaN,NaN,noun,hizip/komplo
verbatim,2021-06-22,NaN,NaN,adverb,kelimesi kelimesine/harfi harfine
slog,2021-06-23,NaN,NaN,verb,çok çalışmak/sert vurmak
shear,2021-06-23,NaN,NaN,verb,makasla kesmek/yoksun bırakmak
dimwitted,2021-06-23,NaN,informal,adjective,ahmak/salak
tendril,2021-06-24,NaN,NaN,noun,sarılmaya yarayan filiz
tarmac,2021-06-24,NaN,NaN,noun,asfalt/pist
peal,2021-06-24,NaN,NaN,noun,çan sesleri/gürleme
cranny,2021-06-26,NaN,NaN,noun,sığınak/kuytu/yarık
dank,2021-06-26,NaN,NaN,adjective,ıslak/küflü/rutubetli
germinate,2021-06-26,NaN,NaN,verb,filizlenmek/çimlenmek
stammer,2021-06-27,NaN,NaN,"verb, noun",kekelemek/kekeleme
gazebo,2021-06-27,NaN,NaN,noun,manzaralı balkon/taraça
trove,2021-06-27,NaN,NaN,noun,hazine/define
allure,2021-06-28,NaN,NaN,noun,cazibe/albeni
lush,2021-06-28,NaN,(of vegetation),adjective,bereketli/ayyaş
deluge,2021-06-28,NaN,NaN,noun,tufan/sel
matron,2021-07-01,NaN,NaN,noun,orta yaşlı evli kadın
decadent,2021-07-01,NaN,NaN,adjective,çökmekte olan/gerileyen
dote,2021-07-01,NaN,NaN,verb,delicesine sevmek/bunamak
entice,2021-07-02,NaN,NaN,verb,ayartmak/baştan çıkarmak
tenure,2021-07-02,NaN,NaN,"noun, verb",görev süresi/kadrolu olmak
impetus,2021-07-02,NaN,NaN,noun,dürtü/enerji
cesspool,2021-07-04,NaN,NaN,noun,lağım çukuru/foseptik
denizen,2021-07-04,NaN,NaN,noun,ikamet eden kimse/müdavim
pledge,2021-07-04,NaN,NaN,noun,taahhüt/vâât
kale,2021-07-06,NaN,NaN,noun,kıvırcık lahana/lahana
contraption,2021-07-06,NaN,NaN,noun,mekanizma
gospel,2021-07-06,NaN,NaN,noun,incil/hz isa´nın öğrettikleri
curt,2021-07-07,NaN,NaN,adjective,kaba ve kısa/kısa
lint,2021-07-07,NaN,NaN,noun,keten tiftiği/pamuk tiftiği
filch,2021-07-07,NaN,NaN,verb,yürütmek/aşırmak
stalwart,2021-07-08,NaN,NaN,adjective,güvenilir/gözüpek
precipitate,2021-07-08,NaN,NaN,verb,çökeltmek/hızlandırmak
surly,2021-07-08,NaN,NaN,adjective,somurtkan/huysuz
genial,2021-07-09,NaN,NaN,adjective,güler yüzlü/cana yakın
stolid,2021-07-09,NaN,NaN,adjective,ağırkanlı/hissiz
haggard,2021-07-09,NaN,NaN,adjective,bitkin/bezgin
dusk,2021-07-13,NaN,NaN,"noun, adjective",alaca karanlık/loş
vanquish,2021-07-13,NaN,NaN,verb,yenmek/hakkından gelmek
halberd,2021-07-13,NaN,historical,noun,teber/baltalı kargı
succinct,2021-07-19,NaN,NaN,adjective,özlü/kısa ve öz
tandem,2021-07-19,NaN,NaN,"noun, adjective, adverb",iki kişilik bisiklet/art arda dizili
pyromancer,2021-07-19,NaN,NaN,noun,ateşe bakarak kehanetlerde bulunan kimse
covariance,2021-08-31,NaN,NaN,noun,kovaryans/ortakdeğişke
pint,2021-08-31,of,NaN,noun,"bir galonun sekizde biri/ing 0,550 litre/abd 0,473 litre"
lexicography,2021-08-31,NaN,NaN,noun,sözlük bilimi
perseverance,2021-09-01,with,NaN,noun,azim/sebat
clench,2021-09-01,NaN,NaN,verb,sıkmak/perçinlemek
focal,2021-09-01,NaN,NaN,adjective,odak/merkez
exalt,2021-09-08,NaN,NaN,verb,yüceltmek/övmek
unanimous,2021-09-08,in,of two or more people,adjective,aynı fikirde/müttefik
apathy,2021-09-08,NaN,NaN,noun,apati/ilgisizlik/duygusuzluk
quirk,2021-09-09,NaN,NaN,noun,acayiplik/cinslik
scrutiny,2021-09-09,NaN,NaN,noun,dikkatli inceleme/ince eleyip sık dokuma
obviate,2021-09-09,NaN,NaN,verb,gidermek/çare bulmak
convoluted,2021-09-10,NaN,"(especially of an argument, story, or sentence)",adjective,sarmal/karmaşık
gritty,2021-09-10,NaN,NaN,adjective,kumlu/cesur
spotty,2021-09-10,NaN,NaN,adjective,lekeli/benekli
ecstasy,2021-09-12,NaN,NaN,noun,coşku/vecit
ephemeral,2021-09-12,NaN,NaN,adjective,geçici/kısa ömürlü
expedient,2021-09-12,NaN,NaN,"noun, adjective",umar/belki doğru olmayan fakat elverişli bir çare/münasip
intrinsically,2021-09-14,NaN,NaN,adverb,intrinsically/aslen
veracity,2021-09-14,of,NaN,noun,doğruluk/gerçeklik
tally,2021-09-14,NaN,NaN,noun,çetele/çentik
kurtosis,2021-09-15,NaN,NaN,noun,basıklık/sivrilik ölçüsü
propensity,2021-09-15,for,NaN,noun,eğilim/meyil
perk,2021-09-15,up,NaN,"noun, verb",ikramiye/neşelenmek/canlanmak
prepend,2021-09-16,NaN,NaN,verb,başa eklemek
uninitiated,2021-09-16,NaN,NaN,adjective,deneyimsiz/bilgisiz
alimony,2021-09-16,NaN,NaN,noun,nafaka
hibernate,2021-09-17,NaN,NaN,verb,kış uykusuna yatmak
hyphen,2021-09-17,NaN,NaN,noun,tire
rabies,2021-09-27,NaN,NaN,noun,kuduz
dire,2021-09-27,NaN,of a situation or event,adjective,acil/çok ciddi
slimy,2021-09-27,NaN,NaN,adjective,sümüksü
palpable,2021-09-28,NaN,of a feeling or atmosphere,adjective,somut/elle tutulur
perforce,2021-09-28,NaN,NaN,adverb,zorla/ister istemez
tantrum,2021-09-28,NaN,typically in a child.,noun,öfke nöbeti/sinir
ensnare,2021-10-28,in,NaN,verb,tuzağa düşürmek/kapana kıstırmak
amble,2021-10-28,NaN,NaN,verb,yavaş yavaş dolaşmak/rahvan koşmak
articulate,2021-10-28,NaN,(of a person or a person's words),adjective,açık/akıcı/belagatli
slant,2021-10-29,NaN,NaN,"noun, adjective",eğim/eğimli
devoid,2021-10-29,of,NaN,adjective,yoksun
interplay,2021-10-29,between,NaN,noun,etkileşim
forgo,2021-10-30,NaN,something pleasant or valuable,verb,feragat etmek/vazgeçmek
rein,2021-10-30,NaN,NaN,noun,dizgin/dizginleme
slack,2021-10-30,NaN,NaN,adjective,gevşek/laçka
die,2021-11-02,NaN,NaN,noun,pres kalıbı/metal ve diğer maddeleri şekillendirmek için kullanılan alet
ferrous,2021-11-02,NaN,NaN,adjective,demir içeren/demir
lathe,2021-11-02,NaN,NaN,noun,torna
gregarious,2021-11-03,NaN,NaN,adjective,sokulgan/sosyal
ingenuity,2021-11-03,NaN,NaN,noun,yaratıcılık/hüner
proliferate,2021-11-03,NaN,NaN,verb,hızla çoğalmak/tomurcuklanmak
urn,2021-11-07,NaN,NaN,noun,kavanoz/semaver
surplus,2021-11-07,NaN,NaN,adjective,fazla/artan
celibacy,2021-11-07,NaN,genellikle dini nedenlerden dolayı,noun,bekârlık/evlenmeme ve cinsel ilişkide bulunmama
fallacy,2021-11-23,NaN,NaN,noun,yanlış inanış/safsata
mill,2021-11-23,NaN,NaN,noun,imalathane/değirmen
jointly,2021-11-23,NaN,NaN,adverb,ortaklaşa/birlikte
accrue,2021-12-07,NaN,NaN,verb,artmak/tahakkuk etmek
catalog,2021-12-07,NaN,NaN,"verb, noun",listelemek/katalog
proclivity,2021-12-07,NaN,NaN,noun,eğilim/meyil
tariff,2021-12-08,NaN,NaN,noun,gümrük vergisi
excise,2021-12-08,NaN,NaN,"noun, verb",tüketim vergisi/vergilendirmek
nudge,2021-12-08,NaN,NaN,verb,dürtmek/hafifçe dirseklemek
levy,2021-12-09,NaN,NaN,"verb, noun",el koymak/toplamak/haciz
fiscal,2021-12-09,NaN,NaN,adjective,mali/devlet hazinesine ait
acre,2021-12-09,NaN,NaN,noun,dönüm
resuscitation,2021-12-13,NaN,NaN,verb,diriltme/canlandırma
pulmonary,2021-12-13,NaN,NaN,adjective,akciğerle ilgili
bushel,2021-12-13,NaN,NaN,noun,kile/ölçek
parish,2022-01-05,NaN,NaN,noun,kendi kilisesi ve cemaati olan bölge/mahalle
deferral,2022-01-05,NaN,NaN,noun,ertelenme/henüz gerçekleşmemiş bir gelirin veya giderin hesaplarda izlenmesi
clinch,2022-01-05,NaN,NaN,verb,perçinlemek/sağlama bağlamak
invoice,2022-01-14,NaN,NaN,noun,fatura
perpetual,2022-01-14,NaN,NaN,adjective,daimi/sürekli
calf,2022-01-14,NaN,NaN,noun,kocaman hayvan yavrusu/baldır
abrasive,2022-03-04,NaN,NaN,adjective,aşındırıcı/yıpratıcı
mortgage,2022-03-04,NaN,NaN,noun,ipotek/rehin
reentrant,2022-03-04,NaN,NaN,adjective,girintili
ombre,2022-06-01,NaN,NaN,"noun, adjective",bir kağıt oyunu/renk geçişli (kumaş)
crimp,2022-06-01,NaN,NaN,"noun, verb",kıvrım/kıvırmak/katlamak
rake,2022-06-01,NaN,NaN,noun,tırmık/hovarda
ubique,2022-06-02,NaN,NaN,adjective,her yerde bulunan/yaygın
knoll,2022-06-02,NaN,NaN,noun,tepe/küçük tepe
deft,2022-06-02,NaN,NaN,adjective,usta/becerikli
interloper,2022-06-05,NaN,NaN,noun,burnunu sokan kimse/araya giren
effusive,2022-06-05,NaN,NaN,adjective,coşkulu/taşkın
ward off,2022-06-05,NaN,NaN,verb,savuşturmak/atlatmak
